Crazyflie name,QTM packet timestamp (s),QTM_x (m),QTM_y (m),QTM_z (m),cf_yaw (°),QTM_vx (m/s),QTM_vy (m/s),QTM_vz (m/s),x_g (m),y_g (m),z_g (m),yaw_g (°),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM)
cf1,4856.139999999999,0.7567136840820312,0.7239765014648437,0.4309342041015625,6.2278008460998535,-0.0016906738281652455,-0.0003295898437583267,0.001078796386744771,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.16,0.756686279296875,0.723964111328125,0.43091415405273437,6.120486736297607,-0.0013702392577786382,-0.000619506835922512,-0.0010025024413859885,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.179999999999,0.7566473388671875,0.7239696655273438,0.43089105224609375,6.120486736297607,-0.0019470214844235722,0.00027770996094513277,-0.0011550903320579648,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.2,0.7566388549804688,0.72397021484375,0.4309071960449219,6.120486736297607,-0.00042419433592584267,2.746582031194489e-05,0.0008071899413893191,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.219999999999,0.7566464233398438,0.723983642578125,0.430894287109375,5.985922336578369,0.0003784179687583267,0.0006713867187638778,-0.0006454467773600564,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.24,0.7566571044921875,0.7240086059570313,0.43088861083984376,5.985922336578369,0.0005340576171736222,0.0012481689452897404,-0.0002838134765558387,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.26,0.7566248168945313,0.7240211181640626,0.43088824462890624,5.857499599456787,-0.001614379882773087,0.0006256103515486222,-1.831054687555511e-05,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.28,0.7566109619140625,0.72401416015625,0.4308600769042969,5.857499599456787,-0.000692749023456235,-0.00034790039063749,-0.001408386230500322,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.3,0.7566051635742188,0.7240592651367188,0.43082720947265624,5.857499599456787,-0.00028991699217917333,0.002255249023392536,-0.0016433715819971107,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.32,0.7566170043945313,0.7240919189453126,0.430825927734375,5.732315540313721,0.00059204101563749,0.001632690429725664,-6.408691406319389e-05,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.34,0.7566072387695313,0.7241241455078126,0.4307887573242188,5.732315540313721,-0.00048828124998889777,0.001611328124965583,-0.0018585205077703115,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.36,0.75662109375,0.7241417236328125,0.4307240905761719,5.637889385223389,0.0006927490234506839,0.0008789062500166534,-0.0032333374024211188,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.38,0.7566124267578125,0.7241846923828125,0.4306787109375,5.637889385223389,-0.00043334960936500797,0.0021484374999522606,-0.0022689819335457327,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.4,0.7566347045898437,0.7241865234375,0.43062152099609374,5.637889385223389,0.001113891601588174,9.155273437916334e-05,-0.0028594970703798074,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.42,0.75660888671875,0.724236572265625,0.43056423950195316,5.580437660217285,-0.0012908935546558586,0.002502441406194489,-0.0028640747069665793,0.7537455444335938,0.7307843017578125,0.4,3.5576589107513428,None,None,None,None
cf1,4856.44,0.7566322021484375,0.7242911987304688,0.4304688415527344,5.580437660217285,0.0011657714844013679,0.0027313232422534195,-0.004769897461050604,0.7566322021484375,0.7242911987304688,0.43056423950195316,0.0,None,None,None,None
