Crazyflie name,QTM packet timestamp (s),QTM_x (m),QTM_y (m),QTM_z (m),cf_yaw (°),QTM_vx (m/s),QTM_vy (m/s),QTM_vz (m/s),x_g (m),y_g (m),z_g (m),yaw_g (°),roll_c (°),pitch_c (°),yaw_rate_c (°/s),thrust_c (PWM) 
cf1_sim,44.32000000000133,-0.7178749234016152,0.4412500664199852,0.4,-39.459999999999226,-0.1684502340745025,-0.472845348258866,0.0,-0.7811272374139707,-0.0558293163974623,0.5,-27.525451927259034,-1.1034499301779328,2.214405774805433,-60,65000
cf1_sim,44.34000000000133,-0.7210788094277757,0.43175512171416475,0.4,-38.259999999999195,-0.1601943013080252,-0.4747472352910235,0.0,-0.775698815907907,-0.0651963224390989,0.5,-26.283846080003404,-1.0987023750210194,2.214995407073639,-60,65000
cf1_sim,44.360000000001335,-0.7241169860407743,0.4222253252821141,0.4,-37.05999999999922,-0.15190883064993208,-0.47648982160253206,0.0,-0.770115420892821,-0.0744321936307848,0.5,-25.036831511175574,-1.093961793234212,2.2155382572732067,-60,65000
cf1_sim,44.38000000000134,-0.7269889256965286,0.4126638736323651,0.4,-35.85999999999919,-0.14359698278771404,-0.47807258248744966,0.0,-0.7643798089948454,-0.08353401353553758,0.5,-23.784356165889356,-1.0892289024236643,2.216034457402371,-60,65000
cf1_sim,44.40000000000134,-0.7296941642585243,0.4030739725043897,0.4,-34.659999999999215,-0.13526192809978616,-0.4794950563987716,0.0,-0.7584947938293687,-0.09249892194208187,0.5,-22.526369498899815,-1.0845044179858074,2.2164841508577346,-61,65000
cf1_sim,44.420000000001345,-0.732232301166349,0.3934588356018146,0.4,-33.43999999999919,-0.1269068453912348,-0.4807568451287551,0.0,-0.7524632448626412,-0.10132411598938595,0.5,-21.26282261063349,-1.0790151474393612,2.217264274813444,-61,65000
cf1_sim,44.44000000000135,-0.7346029995788733,0.383821683322536,0.4,-32.21999999999922,-0.11853492062621572,-0.48185761396392784,0.0,-0.7462880862511378,-0.1100068512681942,0.5,-19.993668388522696,-1.0735353270345116,2.2179946575970257,-61,65000
cf1_sim,44.46000000000135,-0.7368059864920236,0.37416574148624165,0.4,-30.99999999999919,-0.11014934565750963,-0.4827970918147193,0.0,-0.7399722956591447,-0.11854444289911537,0.5,-18.71886165360542,-1.0680657144410972,2.218675487453149,-61,65000
cf1_sim,44.480000000001354,-0.7388410528310985,0.3644942400598484,0.4,-29.779999999999216,-0.10175331695374393,-0.48357507131966293,0.0,-0.7335189030550404,-0.12693426658683649,0.5,-17.438359312323584,-1.0626070641257146,2.2193069648790997,-62,65000
cf1_sim,44.50000000000136,-0.7407080535175943,0.3548104118813658,0.4,-28.53999999999919,-0.09335003432478907,-0.4841914089241276,0.0,-0.7269309894867559,-0.13517375965003975,0.5,-16.152120513422897,-1.056385175215265,2.220258185818836,-62,65000
